Абрам,Abram,M,Russian
Абрам,Abram,M,Ukrainian
愛,Ai,F,Japanese
愛子,Aiko,F,Japanese
Ալեքս,Alekʼs,M,Armenian
Александр,Aleksandr,M,Russian
Александра,Aleksandra,F,Russian
ალექსანდრე,Aleksandre,M,Georgian
Алексей,Aleksey,M,Russian
Ալեն,Alen,M,Armenian
ანა,Ana,F,Georgian
Անահիտ,Anahit,F,Armenian
Анастасия,Anastasiya,F,Russian
Анастасія,Anastasiya,F,Ukrainian
Анатолій,Anatoliy,M,Ukrainian
Анатолий,Anatoly,M,Russian
Андрей,Andrey,M,Russian
Андрій,Andriy,M,Ukrainian
Անգելինա,Angelina,F,Armenian
Անի,Ani,F,Armenian
Анна,Anna,F,Russian
Աննա,Anna,F,Armenian
Անուշ,Anush,F,Armenian
Արամ,Aram,M,Armenian
Արեն,Aren,M,Armenian
Արման,Arman,M,Armenian
Արմեն,Armen,M,Armenian
Արսեն,Arsen,M,Armenian
Արթուր,Artʼur,M,Armenian
Արտյոմ,Artyom,M,Armenian
Աշոտ,Ashot,M,Armenian
敦夫,Atsuo,M,Japanese
ავთანდილი,Avtandili,M,Georgian
彩,Aya,F,Japanese
綾,Aya,F,Japanese
歩,Ayumi,F,Japanese
柏翰,Bǎihàn,M,Chinese
Борис,Boris,M,Russian
Борис,Borys,M,Ukrainian
超,Chāo,M,Chinese
承翰,Chénghàn,M,Chinese
千恵子,Chieko,F,Japanese
大悟,Daigo,M,Japanese
太吾,Daigo,M,Japanese
Дарʼя,Darya,F,Ukrainian
Дарья,Darya,F,Russian
Դավիթ,Davitʼ,M,Armenian
დავითი,Daviti,M,Georgian
Дмитрий,Dmitry,M,Russian
Дмитро,Dmytro,M,Ukrainian
英次郎,Eijirō,M,Japanese
英子,Eiko,F,Japanese
ეკატერინე,Ekʼatʼerine,F,Georgian
Էլեն,Ēlen,F,Armenian
恵美,Emi,F,Japanese
絵美,Emi,F,Japanese
恵美子,Emiko,F,Japanese
笑子,Emiko,F,Japanese
Էրիկ,Ērik,M,Armenian
ეთერი,Eteri,F,Georgian
芳,Fāng,F,Chinese
藤夫,Fujio,M,Japanese
Գագիկ,Gagik,M,Armenian
Галина,Galina,F,Russian
刚,Gāng,M,Chinese
Գայանե,Gayane,F,Armenian
Геннадий,Gennady,M,Russian
Георгий,Georgy,M,Russian
Գեւորգ,Gevorg,M,Armenian
გიორგი,Giorgi,M,Georgian
გივი,Givi,M,Georgian
გოჩა,Gocha,M,Georgian
Գոհար,Gohar,F,Armenian
Գոռ,Goṙ,M,Armenian
Григорий,Grigory,M,Russian
冠霖,Guānlín,M,Chinese
冠廷,Guāntíng,M,Chinese
冠宇,Guānyǔ,M,Chinese
桂英,Guìyīng,F,Chinese
გურამი,Gurami,M,Georgian
Галина,Halyna,F,Ukrainian
英恵,Hanae,F,Japanese
花子,Hanako,F,Japanese
華子,Hanako,F,Japanese
Ганна,Hanna,F,Ukrainian
Հասմիկ,Hasmik,F,Armenian
Հայկ,Hayk,M,Armenian
Геннадій,Hennadiy,M,Ukrainian
Георгій,Heorhiy,M,Ukrainian
弘,Hiroshi,M,Japanese
裕,Hiroshi,M,Japanese
博之,Hiroyuki,M,Japanese
宏之,Hiroyuki,M,Japanese
弘之,Hiroyuki,M,Japanese
久代,Hisayo,F,Japanese
Հովհաննես,Hovhannes,M,Armenian
Григорій,Hryhoriy,M,Ukrainian
慧君,Huìjūn,F,Chinese
惠如,Huìrú,F,Chinese
惠婷,Huìtíng,F,Chinese
惠雯,Huìwén,F,Chinese
一子,Ichiko,F,Japanese
一朗,Ichirō,M,Japanese
一郎,Ichirō,M,Japanese
Игорь,Igor,M,Russian
Ігор,Ihor,M,Ukrainian
Ілля,Illya,M,Ukrainian
Илья,Ilya,M,Russian
ირაკლი,Irakʼli,M,Georgian
Ирина,Irina,F,Russian
ირმა,Irma,F,Georgian
Ірина,Iryna,F,Ukrainian
Иван,Ivan,M,Russian
Іван,Ivan,M,Ukrainian
Иванна,Ivanna,F,Russian
Іванна,Ivanna,F,Ukrainian
Ивета,Iveta,F,Russian
家豪,Jiāháo,M,Chinese
佳桦,Jiāhuà,F,Chinese
佳慧,Jiāhuì,F,Chinese
佳玲,Jiālíng,F,Chinese
嘉玲,Jiālíng,F,Chinese
家铭,Jiāmíng,M,Chinese
建国,Jiànguó,M,Chinese
建宏,Jiànhóng,M,Chinese
佳蓉,Jiāróng,F,Chinese
家玮,Jiāwěi,M,Chinese
佳颖,Jiāyǐng,F,Chinese
家瑜,Jiāyú,F,Chinese
杰,Jié,M,Chinese
静,Jìng,F,Chinese
静宜,Jìngyí,F,Chinese
静怡,Jìngyí,F,Chinese
二郎,Jirō,M,Japanese
次郎,Jirō,M,Japanese
娟,Juān,F,Chinese
淳,Jun,N,Japanese
潤,Jun,N,Japanese
純,Jun,N,Japanese
順,Jun,N,Japanese
军,Jūn,M,Chinese
俊宏,Jùnhóng,M,Chinese
俊杰,Jùnjié,M,Chinese
純子,Junko,F,Japanese
順子,Junko,F,Japanese
俊贤,Jùnxián,M,Chinese
楓,Kaede,F,Japanese
香苗,Kanae,F,Japanese
香織,Kaori,F,Japanese
薫,Kaoru,N,Japanese
香,Kaoru,F,Japanese
Կարեն,Karen,M,Armenian
Կարինե,Karine,F,Armenian
Катерина,Kateryna,F,Ukrainian
和宏,Kazuhiro,M,Japanese
和弘,Kazuhiro,M,Japanese
和巳,Kazumi,M,Japanese
和美,Kazumi,F,Japanese
恵子,Keiko,F,Japanese
敬子,Keiko,F,Japanese
健一,Ken’ichi,M,Japanese
謙一,Ken’ichi,M,Japanese
賢一,Ken’ichi,M,Japanese
健太郎,Kentarō,M,Japanese
ქეთევანი,Ketevani,F,Georgian
ხათუნა,Khatuna,F,Georgian
Кирилл,Kirill,M,Russian
Константин,Konstantin,M,Russian
Костянтин,Kostyantin,M,Ukrainian
Ксения,Kseniya,F,Russian
久美子,Kumiko,F,Japanese
Кирило,Kyrylo,M,Ukrainian
ლალი,Lali,F,Georgian
Лара,Lara,F,Russian
Лариса,Larisa,F,Russian
Лариса,Larysa,F,Ukrainian
ლაშა,Lasha,M,Georgian
磊,Lěi,M,Chinese
Леонид,Leonid,M,Russian
Леонід,Leonid,M,Ukrainian
Лев,Lev,M,Russian
ლევანი,Levani,M,Georgian
Լեւոն,Levon,M,Armenian
丽,Lì,F,Chinese
ლია,Lia,F,Georgian
ლიანა,Liana,F,Georgian
Лидия,Lidiya,F,Russian
立煌,Lìhuáng,M,Chinese
Լիլիթ,Lilitʼ,F,Armenian
Любов,Lyubov,F,Ukrainian
Любовь,Lyubov,F,Russian
Людмила,Lyudmila,F,Russian
Людмила,Lyudmyla,F,Ukrainian
მაია,Maia,F,Georgian
真,Makoto,N,Japanese
誠,Makoto,N,Japanese
Максим,Maksim,M,Russian
Максим,Maksym,M,Ukrainian
მამუკა,Mamukʼa,M,Georgian
მანანა,Manana,F,Georgian
Մանե,Mane,F,Armenian
Մարի,Mari,F,Armenian
Մարիա,Maria,F,Armenian
Մարիամ,Mariam,F,Armenian
მარიამი,Mariami,F,Georgian
Մարիաննա,Marianna,F,Armenian
真理子,Mariko,F,Japanese
მარინა,Marina,F,Georgian
მარინე,Marine,F,Georgian
Мария,Mariya,F,Russian
Марія,Mariya,F,Ukrainian
正夫,Masao,M,Japanese
正雄,Masao,M,Japanese
正人,Masato,M,Japanese
恵,Megumi,F,Japanese
恵美,Megumi,F,Japanese
美玲,Měilíng,F,Chinese
მერაბი,Merabi,M,Georgian
Մերի,Meri,F,Armenian
Михаил,Mikhail,M,Russian
მიხეილი,Mikheili,M,Georgian
Միլենա,Milena,F,Armenian
敏,Mǐn,F,Chinese
明,Míng,M,Chinese
未来,Mirai,N,Japanese
Мирослав,Miroslav,M,Russian
三男,Mitsuo,M,Japanese
光夫,Mitsuo,M,Japanese
Михайло,Mykhaylo,M,Ukrainian
Михайлина,Mykhaylyna,F,Ukrainian
Микола,Mykola,M,Ukrainian
Миколай,Mykolay,M,Ukrainian
Мирослав,Myroslav,M,Ukrainian
მზია,Mzia,F,Georgian
娜,Nà,F,Chinese
Надежда,Nadezhda,F,Russian
Надiя,Nadiya,F,Ukrainian
Надя,Nadya,F,Russian
